Wind_Speed,Wind_Direction,Air_Pressure
0.86375,202.075,101.6875
0.8715,122.575,101.6877
0.9435,96.4075,101.6944
0.93475,53.3575,101.6905
0.90175,97.1175,101.7143
0.80775,127.075,101.7013
1.06725,163.65,101.6981
1.27,158.3,101.6806
1.281,174.075,101.6597
1.42225,174.725,101.6222
1.3555,191.225,101.5563
1.29775,169.7,101.5079
1.04175,175.6,101.4305
0.63125,163.825,101.38
0.86125,189.0,101.353
0.74725,198.025,101.3666
0.87225,112.285,101.3795
0.87125,81.53,101.3926
0.90725,74.755,101.4326
0.92825,58.9925,101.3861
1.1295,39.9125,101.3988
0.96575,47.925,101.4186
0.9435,39.335,101.4187
1.12075,40.6475,101.4166
1.18675,35.5675,101.4182
1.10025,36.6175,101.4022
1.04175,36.1825,101.3907
1.01575,34.5775,101.3771
0.922,40.24,101.4648
0.595,65.5125,101.5188
0.31675,141.225,101.5326
1.03025,143.575,101.5392
1.06375,172.25,101.5138
1.1515,182.85,101.4441
1.27275,153.05,101.4485
1.2895,139.95,101.4357
1.0155,137.35,101.3816
0.9785,182.55,101.3546
0.5235,173.3,101.3344
0.55725,144.7175,101.3686
0.51975,180.025,101.4143
0.44125,241.725,101.5145
0.3525,263.475,101.6364
0.4585,126.8475,101.723
0.82325,42.19,101.7558
0.68925,51.985,101.7756
0.7465,41.23,101.8255
0.86175,40.885,101.8097
0.78375,37.6625,101.8017
0.69875,40.9725,101.7791
0.61825,66.3875,101.7406
0.26575,107.79,101.8163
0.247,116.4625,101.8785
0.3085,67.265,101.9314
0.335,87.2275,101.8368
0.45625,222.1,101.8626
0.36225,167.975,101.8227
0.4125,208.85,101.898
0.61225,219.95,101.8172
0.6625,235.2,101.8442
0.1745,224.0,101.8509
0.06475,188.6,101.8307
0.14175,169.4925,101.8239
0.20825,94.785,101.8239
0.35425,70.04,101.7969
0.3315,41.8325,101.7979
0.0745,104.9525,101.8279
0.14775,166.25,101.8702
0.4185,32.9775,101.8565
0.34525,40.5775,101.8304
0.269,89.0775,101.804
0.11225,182.9875,101.777
0.0765,162.3175,101.7491
0.078,177.3875,101.7009
0.06675,168.3875,101.6543
0.02,198.0,101.6383
0.0395,160.2775,101.6524
0.1175,126.275,101.6956
0.17,173.05,101.6956
0.127,157.35,101.6618
0.21025,184.85,101.6551
0.234,126.6,101.6889
0.079,127.195,101.6483
0.2775,198.225,101.563
0.306,198.25,101.495
0.0515,182.975,101.4329
0.304,223.25,101.4126
0.3315,259.4,101.3719
0.21425,261.65,101.2976
0.826,246.075,101.2849
0.648,247.825,101.2944
0.55625,270.525,101.221
0.896,254.55,101.1138
0.92575,255.225,101.053
0.90725,275.05,100.987
0.946,262.225,100.825
0.8605,229.475,100.7304
1.056,260.05,100.6156
1.23175,264.375,100.4603
1.3945,268.5,100.3185
1.369,272.6,100.2294
1.449,270.575,100.0503
1.4945,262.425,99.92214
1.4945,251.55,99.81989
1.822,261.225,99.69069
1.50675,257.075,99.54768
1.867,267.85,99.41605
1.56225,260.675,99.32159
1.6995,266.925,99.20687
1.6995,248.65,99.1124
1.64925,253.25,99.00445
1.77525,248.825,98.95046
1.25325,237.25,98.99095
1.60875,226.575,99.09692
1.21475,214.55,99.28479
0.70325,242.525,99.38113
0.98075,250.85,99.42921
0.946,241.3,99.48555
0.83525,244.125,99.488
0.86625,226.275,99.46099
1.0915,218.325,99.44749
1.063,233.5,99.43398
1.15375,232.75,99.40022
1.07425,226.3,99.37997
1.177,237.025,99.40697
0.88875,225.2,99.39349
0.849,201.275,99.38
0.875,179.225,99.37325
0.65675,172.2,99.40708
0.93225,185.275,99.37431
1.29425,194.275,99.35641
1.2765,174.725,99.34141
1.23675,134.0,99.36205
1.26625,144.81,99.3619
1.072,172.1,99.47003
1.34625,173.875,99.56893
1.50425,186.4,99.68896
1.181,172.65,99.78523
1.41125,191.775,99.91142
1.6515,200.575,99.99926
1.4155,184.675,100.0721
1.72525,195.375,100.144
1.62875,180.925,100.2011
1.37075,207.175,100.2822
0.68675,186.15,100.3498
0.373,128.42,100.435
1.15175,155.15,100.4904
0.5375,164.2,100.5177
0.8005,175.325,100.5238
0.88725,162.7,100.5955
1.262,170.575,100.6105
1.203,175.05,100.6099
1.435,191.125,100.6104
1.4025,178.375,100.5437
1.45,195.85,100.4941
1.24925,192.45,100.477
0.886,194.475,100.4348
0.72475,181.4,100.4079
0.349,163.1,100.4341
0.2165,196.075,100.4806
0.16,195.175,100.49
0.0,145.2225,100.4579
0.1025,47.5575,100.446
0.10075,80.5025,100.4325
0.15225,96.065,100.473
0.144,81.6225,100.4325
0.3475,64.4475,100.3923
0.47275,39.3875,100.3696
0.746,27.9025,100.3502
0.6645,28.4175,100.3445
0.61375,55.035,100.3957
0.3265,168.35,100.4689
0.42325,73.9525,100.5724
0.2565,123.775,100.6277
0.3925,184.425,100.6463
0.51625,151.975,100.6697
1.0855,174.475,100.7021
0.9845,181.7,100.6504
0.8435,178.8,100.647
1.06925,172.9,100.7118
1.1595,170.25,100.7116
1.4705,175.85,100.7977
0.91875,168.425,100.8668
0.654,169.925,100.9208
0.45675,161.6975,100.9867
0.8385,28.9825,101.0544
0.99475,31.335,101.1682
1.10525,33.7725,101.2192
1.1245,33.1575,101.229
0.89825,31.2325,101.2749
0.86125,21.3975,101.2893
1.09825,33.86,101.3093
1.07425,56.3075,101.2948
1.07425,56.3075,101.3226
1.07425,56.3075,101.3496
1.07425,56.3075,101.3902
1.07425,56.3075,101.4713
1.07425,56.3075,101.5258
1.07425,56.3075,101.5257
1.07425,56.3075,101.5184
1.07425,56.3075,101.542
1.07425,56.3075,101.5063
1.07425,56.3075,101.502
1.07425,56.3075,101.5154
1.07425,56.3075,101.5553
1.07425,56.3075,101.5356
1.07425,56.3075,101.5693
1.07425,56.3075,101.6165
1.07425,56.3075,101.683
1.07425,56.3075,101.7907
1.07425,56.3075,101.8512
1.07425,56.3075,101.8985
1.07425,56.3075,101.9184
1.07425,56.3075,102.0002
1.07425,56.3075,102.0263
1.07425,56.3075,102.039
1.07425,56.3075,102.0463
1.07425,56.3075,102.0665
1.07425,56.3075,102.0663
1.07425,56.3075,102.0798
1.07425,56.3075,102.1339
1.07425,56.3075,102.1543
1.07425,56.3075,102.081
1.07425,56.3075,102.0752
1.07425,56.3075,102.0004
1.07425,56.3075,101.9056
1.07425,56.3075,101.8412
1.07425,56.3075,101.7987
0.94725,170.625,101.7582
0.7455,217.075,101.6773
0.58925,162.475,101.6565
0.32325,106.4475,101.6364
0.397,55.9475,101.6495
0.59975,57.375,101.6825
0.50025,95.6225,101.7682
0.27375,230.3,101.8378
0.194,212.225,101.8918
0.30875,48.5575,101.8999
0.3345,82.405,101.9046
0.3565,131.5825,101.8712
0.40125,131.485,101.852
0.2815,74.0475,101.8153
0.3485,150.135,101.8297
0.6085,37.7775,101.8101
0.478,152.3,101.8926
1.1355,229.65,101.9727
1.4135,240.35,101.9468
1.31975,235.95,101.9565
1.1675,239.4,101.9238
1.12475,242.875,101.8992
1.01575,240.7,101.9005
0.8035,220.475,101.9113
0.6225,223.125,101.9458
0.478,240.5,101.9458
0.28575,228.55,101.9728
0.108,176.475,102.0258
0.16525,194.95,102.0265
0.03325,113.6275,101.9725
0.075,232.525,102.0401
0.047,226.875,102.0468
0.08225,259.825,102.0333
0.0685,125.1775,102.0004
0.14925,39.255,102.018
0.289,50.405,101.9815
0.271,53.7325,101.9579
0.3155,52.05,101.9452
0.0745,49.2925,101.979
0.0815,57.645,101.9722
0.2185,202.25,101.9857
0.522,227.6,102.0384
0.6865,207.9,101.9793
1.041,221.05,101.9188
1.2475,192.55,101.9057
1.04875,212.875,101.7912
1.32825,208.7,101.717
1.1965,215.675,101.6563
1.21325,220.7,101.5618
1.39525,235.775,101.4741
1.402,248.775,101.3661
1.18825,246.225,101.3526
0.8465,236.775,101.3378
0.8275,235.95,101.3951
0.54075,235.55,101.4594
0.27975,210.475,101.4259
0.22475,242.85,101.3786
0.14525,235.2,101.3246
0.067,176.775,101.2706
0.05925,43.2475,101.2166
0.2995,42.24,101.1568
0.20025,52.6475,101.1374
0.08625,47.3625,101.0916
0.15225,89.195,101.1141
0.1605,105.525,101.0449
0.16225,134.36,101.1156
0.38375,206.975,101.043
0.848,107.7,101.0006
1.1635,48.73,100.9803
0.746,81.075,100.9465
1.06875,169.95,100.8916
1.4645,183.775,100.7919
1.05225,164.1,100.7307
0.568,172.025,100.6509
0.9325,139.025,100.5969
1.28725,136.95,100.6509
0.94,140.375,100.7418
0.7565,112.415,100.8874
0.9735,164.475,100.9886
1.28725,190.525,101.0404
1.21875,194.75,101.0523
1.07775,209.7,101.0938
1.19675,199.325,101.0683
0.6265,173.225,101.0527
0.5655,96.46,101.0257
0.615,71.035,101.1267
0.442,32.8275,101.1164
0.656,39.5975,101.1334
0.77875,65.825,101.1403
0.667,157.975,101.1544
0.91275,146.3,101.1232
1.37075,178.25,101.0803
1.16175,190.1,101.0557
1.294,183.4,101.0017
0.81175,167.025,100.9358
1.176,176.95,100.9358
1.394,190.625,100.919
1.192,166.325,100.8376
0.8915,171.25,100.8249
0.821,174.35,100.8114
0.5725,113.875,100.7882
0.61075,82.965,100.804
0.78,50.92,100.851
0.94075,39.8825,100.8634
0.79625,106.435,100.8552
0.8605,132.2,100.8626
0.9395,127.575,100.8763
0.66975,131.05,100.8358
1.27275,180.8,100.8365
1.359,189.275,100.9918
0.9115,174.8,101.0589
1.38075,185.25,101.1603
1.34925,188.475,101.2347
1.49375,177.675,101.3166
1.62775,184.75,101.3237
1.714,172.75,101.3647
1.68225,170.825,101.3989
1.81675,178.475,101.3991
1.684,182.4,101.3926
1.6125,173.175,101.4422
1.7465,196.25,101.4403
1.25375,182.2,101.4471
1.14,146.35,101.4741
0.682,128.45,101.4876
0.548,107.2225,101.5269
0.87025,33.695,101.5537
0.95625,32.5275,101.6259
0.9665,31.6825,101.6881
0.9565,31.6875,101.7622
0.82,30.8075,101.7823
0.85275,24.265,101.8144
0.89925,24.6675,101.782
0.784,27.4125,101.7887
0.80525,30.0475,101.8226
0.88825,32.6375,101.8595
0.8385,27.2325,101.8697
0.775,56.835,101.9239
0.41775,158.525,101.9586
0.95525,185.6,101.9082
1.03375,170.825,101.8541
1.4055,188.775,101.7425
1.52925,191.025,101.659
1.72275,223.975,101.4818
1.68725,215.05,101.3726
1.723,224.05,101.2718
1.6825,220.0,101.1346
1.62,240.0,101.0704
1.49725,255.175,101.1378
1.09025,264.375,101.1359
0.812,265.025,101.1895
0.48725,117.69,101.2297
0.498,107.055,101.2179
0.36675,217.45,101.2156
0.35425,187.7,101.135
0.6775,63.6025,101.0742
0.6035,40.24,101.0261
0.582,43.3125,100.9587
0.6385,43.1325,100.8912
0.6435,42.74,100.8101
0.61625,36.9275,100.7155
0.1365,152.8625,100.729
0.41825,174.15,100.7155
0.39475,205.0,100.6352
0.29075,217.575,100.5819
0.25,197.225,100.6494
0.6035,220.1,100.6229
1.16675,193.65,100.5662
1.04025,161.1,100.5278
1.46875,156.55,100.605
1.3105,153.075,100.8262
1.6265,176.2,101.0204
1.7995,171.375,101.2025
1.5735,200.475,101.3303
1.234,202.2,101.4717
1.16925,188.65,101.6265
1.2415,188.575,101.708
1.39075,189.7,101.7553
0.992,171.1,101.8774
1.1045,173.325,101.9578
1.1715,177.75,102.0255
1.5245,186.775,102.0593
1.4135,182.85,102.0948
1.42,187.45,102.1669
0.8705,177.95,102.235
1.54925,138.65,102.3412
1.338,157.95,102.4069
1.35925,168.025,102.4593
1.39925,148.325,102.5013
1.465,157.6,102.513
1.63125,146.75,102.5004
1.5365,150.625,102.4674
1.28375,164.475,102.3783
1.2325,154.45,102.3378
1.30825,185.025,102.2568
1.14525,207.6,102.2433
0.72325,215.2,102.2635
0.56175,153.125,102.2831
0.842,37.85,102.3373
0.95525,32.375,102.4366
0.86,40.6025,102.4939
0.848,35.0775,102.5597
0.90525,28.955,102.641
1.03,116.2,102.6883
1.012,106.5175,102.7154
1.01175,32.8725,102.7255
0.6475,57.79,102.7627
0.6805,75.63,102.8235
0.5475,57.365,102.8912
0.349,120.0175,102.9454
0.44275,174.675,103.0165
0.92475,191.6,103.04
1.2145,156.8,102.9992
1.16775,197.775,102.9398
1.28325,159.25,102.879
1.20675,166.05,102.8499
1.04525,197.35,102.8153
1.1125,175.575,102.7562
0.9935,167.15,102.7427
0.91225,141.825,102.7562
0.699,192.1,102.7362
0.69625,81.475,102.756
1.0415,29.4625,102.7689
1.1465,34.26,102.8221
1.10175,43.5475,102.8864
1.04775,31.9325,102.9217
0.87775,28.0875,102.9385
0.94775,33.6875,102.9723
0.92375,30.3675,102.9994
0.89725,26.1625,102.9588
0.77275,26.74,102.9677
0.794,23.435,102.9791
0.877,26.77,103.0062
0.49775,56.665,103.0941
0.288,134.175,103.0937
0.7865,163.525,103.0309
1.2645,195.1,102.9492
1.39,209.6,102.9036
1.371,177.525,102.8373
1.301,189.275,102.7292
1.3215,214.85,102.6483
1.2955,224.3,102.5301
1.00325,203.525,102.4251
1.077,221.4,102.3448
0.888,227.85,102.3381
0.61475,267.175,102.2527
0.67625,271.875,102.2134
0.583,263.6,102.25
0.55675,252.5,102.3236
0.38425,169.6025,102.2836
0.45,48.5625,102.2442
0.197,46.4475,102.2834
0.06025,29.3325,102.2294
0.0775,17.774,102.1695
0.26675,66.3,102.1093
0.25625,66.2725,102.0461
0.06375,156.3675,102.0062
0.08725,197.65,102.0036
0.24925,181.425,101.9467
0.6255,160.6,102.0539
0.527,184.2,101.9121
0.74375,180.65,101.8108
0.60625,192.7,101.7308
0.70975,187.375,101.6383
0.8425,197.4,101.5387
0.79125,204.6,101.4615
0.59975,199.275,101.3936
0.365,218.775,101.367
0.24925,189.775,101.3259
0.338,135.1675,101.3383
0.4285,38.38,101.3666
0.24875,32.865,101.3526
0.4225,33.0325,101.3121
0.70675,66.9975,101.2446
0.57225,139.575,101.2514
0.72875,169.05,101.2125
