Snow_mm,Solar_Radiation
-0.952,0.0
-0.9735,0.0
-0.979,0.0
-1.13975,652.3
-1.408,209.6
-1.37575,182.7
-1.408,91.4
-1.407,19.04
-1.407,0.072
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,2.053
-1.407,11.49
-1.28375,187.4
-1.1925,233.7
-1.2565,272.6
-1.3265,209.7
-1.3965,175.8
-1.40175,87.9
-1.375,90.3
-1.40175,140.6
-1.407,85.6
-1.407,72.64
-1.407,67.72
-1.407,14.04
-1.407,0.163
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,1.255
-1.4015,38.42
-1.348,108.9
-1.16,220.4
-1.05225,322.3
-0.977,505.7
-1.058,502.3
-0.97775,588.8
-1.05875,203.2
-1.13925,292.0
-1.20875,283.5
-1.391,136.6
-1.407,71.47
-1.407,23.5
-1.407,0.151
-1.407,0.0
-1.40175,0.0
-1.3965,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.556
-1.3965,29.34
-1.38025,37.29
-1.34275,118.6
-1.407,100.5
-1.407,77.16
-1.33175,170.8
-1.06875,267.5
-0.95675,846.0
-1.2095,216.2
-1.306,157.3
-1.4075,107.1
-1.407,97.3
-1.407,10.7
-1.407,0.34
-1.407,0.0
-1.407,0.0
-1.40625,0.0
-1.406,0.0
-1.406,0.0
-1.406,0.0
-1.406,0.0
-1.406,0.0
-1.406,0.0
-1.406,2.765
-1.406,17.41
-1.3905,231.0
-1.15975,174.2
-0.977,694.6
-1.09,626.1
-1.1225,324.4
-1.407,186.2
-1.36425,234.1
-1.262,203.7
-1.359,166.2
-1.407,134.8
-1.407,73.97
-1.407,26.59
-1.407,0.571
-1.4065,0.0
-1.406,0.0
-1.406,0.0
-1.406,0.0
-1.406,0.0
-1.406,0.0
-1.406,0.0
-1.406,0.0
-1.40525,0.0
-1.405,3.931
-1.39425,17.66
-1.34625,214.9
-1.1325,515.7
-0.9075,678.1
-0.9135,799.7
-0.97325,876.0
-0.979,894.0
-1.0755,855.0
-1.08075,758.8
-1.392,603.6
-1.407,92.8
-1.407,37.77
-1.407,13.13
-1.407,0.703
-1.407,0.0
-1.40675,0.0
-1.406,0.0
-1.406,0.0
-1.406,0.0
-1.4065,0.0
-1.40625,0.0
-1.406,0.0
-1.406,0.0
-1.406,3.878
-1.3955,19.66
-1.2405,230.6
-1.0095,504.9
-0.8115,667.6
-0.8875,791.1
-0.979,863.0
-0.97925,883.0
-0.979,843.0
-0.9795,749.8
-1.3225,602.1
-1.408,97.2
-1.408,69.13
-1.40725,20.0
-1.407,0.533
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,1.683
-1.391,28.62
-1.3425,118.2
-1.36975,184.3
-1.39625,134.8
-1.33725,71.55
-1.14925,167.1
-1.08025,745.8
-1.36475,176.2
-1.3265,708.1
-1.407,142.2
-1.407,139.8
-1.40675,66.15
-1.406,23.77
-1.405,1.033
-1.432,0.0
-1.47525,0.0
-1.5395,0.0
-1.62,0.0
-1.62,0.0
-1.5395,0.0
-1.51275,0.0
-1.4535,0.0
-1.448,0.0
-1.34075,4.743
-1.19,20.23
-1.19,228.8
-1.14225,524.5
-0.70875,687.0
-0.795,810.0
-0.9455,886.0
-0.9785,906.0
-1.07475,863.0
-1.06475,765.9
-1.3545,623.5
-1.3855,88.3
-1.407,31.29
-1.407,13.03
-1.407,1.149
-1.471,0.0
-1.54075,0.0
-1.5885,0.0
-1.60425,0.0
-1.62,0.0
-1.6095,0.0
-1.55025,0.0
-1.534,0.0
-1.502,0.0
-1.459,5.014
-1.44825,19.51
-1.2455,203.4
-1.01475,523.4
-0.83275,683.2
-0.893,806.0
-0.979,882.0
-0.979,901.0
-1.04325,862.0
-1.086,765.3
-1.3115,619.6
-1.36525,97.9
-1.408,34.75
-1.407,14.69
-1.407,1.209
-1.407,0.0
-1.407,0.0
-1.4125,0.0
-1.407,0.0
-1.407,0.0
-1.41775,0.0
-1.407,0.0
-1.4125,0.0
-1.407,0.0
-1.407,6.112
-1.36975,24.87
-1.29975,190.6
-1.09575,524.8
-0.866,694.1
-0.893,703.0
-0.93675,953.0
-0.97925,829.0
-1.03325,805.0
-1.2315,481.5
-1.236,345.2
-1.30075,190.7
-1.392,118.0
-1.408,52.92
-1.40775,0.702
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,7.726
-1.407,21.78
-1.407,32.91
-1.3855,16.67
-1.24575,251.0
-1.17125,194.3
-1.17125,195.3
-0.979,422.5
-1.022,414.1
-1.1075,577.3
-1.349,328.4
-1.40275,119.7
-1.408,119.1
-1.3975,12.99
-1.392,0.117
-1.408,0.0
-1.40275,0.0
-1.3975,0.0
-1.408,0.0
-1.40775,0.0
-1.40775,0.0
-1.386,0.0
-1.407,0.0
-1.407,0.0
-1.407,8.46
-1.407,36.52
-1.375,210.2
-1.16025,517.5
-0.97875,441.7
-1.20425,452.8
-1.27375,263.5
-1.043,346.7
-0.979,464.8
-0.979,736.5
-1.2745,584.4
-1.37575,155.5
-1.408,73.03
-1.408,25.92
-1.40725,1.36
-1.40725,0.0
-1.407,0.0
-1.407,0.0
-1.40175,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,8.66
-1.391,44.7
-1.40175,101.9
-1.40175,69.38
-1.40175,54.04
-1.2995,234.3
-1.25125,238.1
-1.364,198.8
-1.36425,154.1
-1.40175,120.1
-1.3965,74.26
-1.407,59.48
-1.407,31.33
-1.407,7.184
-1.407,0.336
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,2.975
0.0,20.63
0.0,58.72
0.0,128.9
0.0,152.5
0.0,182.2
0.0,207.0
0.0,154.8
0.0,170.1
0.0,150.9
0.0,79.65
0.0,108.7
0.0,60.61
0.0,46.96
0.0,1.885
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,1.999
0.0,8.22
0.0,35.48
0.0,114.9
0.0,116.0
0.0,187.1
0.0,292.5
0.0,551.4
0.0,287.3
0.0,229.9
0.0,119.5
